id,person,noc,game
67144,48646,70,19
182121,131108,72,29
122877,88691,70,14
105836,76401,198,16
133263,96080,43,20
85173,61631,70,35
151059,108865,3,9
106029,76539,3,12
86924,62860,27,27
127579,92073,94,0
153433,110576,56,9
168875,121504,195,21
166217,119643,27,27
121704,87833,22,40
87840,63482,13,42
143548,103431,105,20
174164,125348,86,21
98890,71412,43,21
135649,97790,40,46
34180,24933,47,12
26877,19590,200,28
177868,128030,43,28
12652,9308,56,11
95457,68987,0,1
148124,106736,3,25
80643,58432,149,0
31249,22818,87,16
163393,117627,65,32
47288,34334,3,10
28919,21106,41,6
101715,73465,4,32
37590,27370,18,8
160186,115395,72,26
186025,133892,0,15
63878,46278,11,20
95242,68835,2,0
99647,71963,14,2
176701,127195,130,31
169671,122082,3,35
40456,29394,10,0
70489,51050,34,1
88033,63613,117,29
48620,35249,18,12
21418,15634,75,35
78895,57183,22,2
90932,65684,10,33
115971,83755,101,26
87534,63262,86,19
97040,70103,29,27
34089,24871,87,12
97183,70207,0,19
121169,87437,3,38
110840,79986,43,1
137490,99106,75,26
152588,109976,3,26
126091,91004,147,15
19707,14415,5,10
42281,30713,8,27
55871,40423,8,40
30152,22015,3,32
57138,41357,105,20
70361,50952,41,11
143325,103279,3,0
130397,94065,72,45
180858,130185,81,27
143571,103449,191,12
141655,102092,40,0
135562,97731,115,21
146548,105611,8,11
55812,40382,14,25
183645,132221,40,12
39490,28716,130,17
72946,52815,73,21
88256,63778,5,5
96520,69728,79,0
98315,71001,10,1
123449,89120,74,27
158539,114249,2,34
13326,9782,18,15
148275,106844,40,1
106794,77104,3,25
11498,8493,102,37
25531,18589,43,29
58029,42008,10,37
115939,83733,44,33
149419,107666,8,14
80759,58512,87,46
96654,69828,79,46
145867,105117,151,21
71727,51936,20,27
149749,107890,29,35
87308,63114,29,36
104050,75123,41,38
48886,35436,40,5
105066,75836,8,25
122982,88771,43,1
31143,22737,109,19
13628,10005,14,21
174754,125778,5,13
27016,19694,110,35
144814,104358,130,33
168998,121591,13,0
99182,71629,73,35
81464,59035,22,35
116610,84220,43,21
168299,121088,120,20
49583,35940,143,19
53851,38947,54,12
96555,69756,4,1
149571,107769,130,29
88896,64238,205,13
107818,77851,75,35
125270,90419,14,33
177606,127853,0,1
181843,130909,94,26
25512,18576,101,12
41614,30224,41,18
139606,100630,59,0
38330,27914,50,14
58878,42624,40,38
167038,120214,151,21
142824,102928,1,9
61390,44445,189,24
116981,84479,6,36
47482,34479,118,16
116881,84405,193,36
113218,81746,41,27
30456,22229,159,1
132000,95189,8,18
151086,108885,93,33
71415,51714,87,12
10645,7875,40,22
103880,74992,3,7
62800,45483,4,14
98113,70849,79,46
31818,23221,44,12
104678,75565,94,30
126664,91419,151,12
165495,119128,105,33
30988,22622,3,7
12427,9141,207,47
113559,81996,18,19
171317,123253,120,6
154314,111196,86,11
28466,20766,84,11
138398,99764,3,9
28249,20600,70,0
139362,100456,77,20
147641,106388,77,19
113474,81938,8,26
121724,87847,7,5
75722,54809,147,28
5972,4444,79,46
26790,19529,13,26
140129,100999,8,35
76248,55193,87,21
92909,67158,8,17
183227,131926,11,19
144952,104463,87,16
1331,993,79,0
133064,95935,6,21
62847,45514,2,34
46181,33543,26,1
177231,127580,44,0
152643,110016,18,20
99847,72110,74,35
57096,41327,94,0
131609,94921,69,0
26948,19645,65,27
176139,126776,72,16
104429,75385,105,1
116429,84090,88,1
184384,132750,24,25
15077,11060,8,9
72783,52695,18,1
181006,130293,40,45
17636,12940,105,25
166525,119857,72,34
129409,93377,1,14
165130,118876,40,38
27589,20126,202,12
33946,24764,5,2
143780,103601,86,20
10457,7738,14,23
97459,70390,5,8
13455,9883,48,21
150671,108584,13,4
40731,29583,117,34
169127,121686,70,17
62108,44966,43,21
118782,85760,86,12
78695,57044,148,26
83150,60205,3,18
180803,130142,41,41
148412,106945,75,24
42584,30931,43,21
56458,40849,3,12
27165,19810,10,12
157266,113367,43,12
103339,74611,116,21
113489,81950,176,28
57739,41794,40,32
20517,14990,3,28
35320,25741,41,42
39749,28902,6,12
167450,120500,29,36
109891,79336,40,1
178355,128396,40,1
180115,129647,3,27
28863,21062,195,28
86701,62708,4,12
33699,24587,73,11
2273,1688,9,27
65553,47485,87,12
112965,81560,3,35
84240,60967,74,35
175250,126149,98,15
15994,11725,72,34
111197,80260,172,38
75295,54490,14,26
163673,117828,79,41
149353,107615,120,20
170421,122620,3,44
104966,75760,11,21
19749,14440,10,20
154538,111348,94,29
175738,126493,27,28
26908,19612,8,3
115055,83112,101,1
165560,119176,43,2
30283,22110,41,1
149514,107731,38,11
1079,811,122,35
47530,34513,0,17
31456,22957,87,34
113714,82112,72,11
15259,11200,19,11
121108,87394,42,38
18398,13486,64,35
13111,9636,8,5
38446,27987,40,1
118079,85263,220,21
110574,79798,10,15
59921,43380,26,16
160748,115785,24,33
56776,41094,27,24
30025,21916,8,7
121682,87819,87,21
111449,80438,29,16
624,465,11,20
148451,106972,40,32
74511,53905,8,32
13889,10204,87,25
96477,69698,79,13
104588,75501,79,23
90893,65655,4,37
70321,50924,44,11
7207,5342,110,12
120430,86926,18,17
154409,111261,172,12
53267,38531,170,0
105364,76056,27,36
174411,125525,1,11
144892,104418,11,19
88963,64281,66,12
1590,1184,29,9
143383,103322,54,19
21045,15362,87,43
138309,99703,217,0
28764,20989,147,28
123269,88987,79,25
98115,70850,87,37
115560,83469,5,24
137197,98884,94,17
65015,47101,40,29
26156,19066,24,34
37534,27329,8,14
8774,6510,14,39
69499,50325,27,26
51419,37235,130,27
71013,51434,70,19
16162,11857,79,25
60268,43627,87,29
108417,78286,0,19
9539,7077,29,36
6605,4895,64,37
15225,11173,34,16
12275,9034,41,28
68997,49980,87,27
119302,86126,37,20
181126,130389,72,25
99330,71737,14,12
152688,110043,117,0
96652,69826,79,22
60777,44009,130,29
105264,75981,134,1
61143,44272,29,19
166380,119749,43,0
173364,124781,108,16
144990,104486,2,1
128801,92947,3,25
92503,66850,50,27
102578,74071,40,32
169069,121639,27,32
131231,94647,43,25
72512,52496,70,19
84008,60815,19,7
30665,22388,14,27
178575,128558,0,1
31680,23123,14,16
23976,17455,3,34
11387,8408,34,37
36331,26459,73,19
75422,54588,0,19
61260,44352,2,1
15977,11712,41,21
53427,38643,41,11
146255,105398,172,18
155597,112095,56,1
137186,98876,6,33
20770,15164,42,21
90297,65225,22,16
5252,3915,79,28
96412,69654,79,2
102553,74055,26,11
172862,124413,50,33
62657,45377,118,9
80858,58586,19,20
158022,113896,3,25
178107,128205,3,1
184409,132767,18,38
72345,52379,18,1
107877,77894,83,1
135450,97648,160,32
119354,86167,147,28
48293,35019,3,44
114284,82541,178,12
181229,130464,41,20
153895,110906,79,31
159092,114638,41,19
96250,69546,4,33
179933,129511,40,11
86395,62501,117,33
77963,56496,132,19
146195,105356,70,25
110949,80068,70,20
23444,17074,8,13
112969,81564,73,16
14067,10329,86,19
81909,59329,160,36
55718,40321,41,0
102556,74058,40,5
85897,62143,5,9
114929,83022,6,37
94102,67987,14,29
21510,15697,41,27
111701,80642,79,43
37292,27164,8,0
146753,105757,41,35
154119,111056,5,6
39340,28621,185,11
67790,49097,72,19
6845,5078,148,37
76426,55327,101,12
14402,10566,26,35
59636,43167,6,35
179421,129148,79,36
37229,27120,42,16
37875,27572,70,28
114233,82504,56,1
170208,122469,10,0
66505,48188,80,11
75954,54977,4,16
186437,134179,94,1
16642,12208,122,1
80936,58644,43,35
142309,102569,5,14
78958,57230,29,1
92155,66595,4,7
88730,64125,18,1
178951,128808,87,46
4219,3154,26,26
73062,52895,87,10
118677,85686,4,10
10958,8112,26,28
169856,122223,98,1
65156,47202,120,18
35402,25795,10,3
8766,6503,3,26
150509,108464,16,20
29852,21792,87,14
55287,40006,22,16
123507,89168,42,7
133230,96057,117,10
86469,62554,21,17
33209,24228,3,29
172766,124346,44,32
150474,108439,12,27
159880,115176,13,0
9330,6920,130,15
77353,56035,4,14
84266,60982,27,4
9862,7304,26,27
134846,97201,16,1
140495,101255,189,20
52614,38086,40,46
30570,22312,26,35
159919,115202,4,11
7022,5201,41,32
56317,40745,85,19
52119,37735,87,47
14538,10665,8,12
170078,122376,70,37
109099,78759,3,13
83085,60160,181,20
2382,1779,57,19
155240,111844,18,8
136897,98663,56,1
138442,99794,183,19
67324,48770,94,7
136710,98537,94,31
22557,16424,54,11
73016,52863,88,26
99702,72006,6,12
34814,25374,21,15
119164,86027,70,12
440,332,16,20
156565,112842,3,32
184357,132730,147,15
144158,103886,50,21
33721,24602,14,23
128430,92678,41,11
86510,62582,18,15
168517,121244,43,11
86293,62428,29,12
15014,11009,74,27
81898,59321,177,20
123282,88995,6,27
156583,112856,73,20
60217,43594,8,16
33286,24283,99,20
108190,78116,6,11
